;;;Barri d'alta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;14. la Font de la Guatlla;508;23;13;3;7;4;12;9;12;24;28;21;0;47;88;27;11;7;13;17;11;0;3;9;4;1;2;3;1;1;3;9;6;1;0;9;0;0;0;1;0;0;0;1;7;2;0;0;0;0;0;4;4;0;0;0;0;0;1;2;6;6;2;3;6;5;10;0;5;1;4;4;1;4;0;
3;15. Hostafrancs;1.039;47;11;5;12;17;13;25;23;67;32;25;1;64;52;212;41;25;118;27;10;1;2;3;0;3;6;10;5;2;7;17;10;10;3;6;1;2;7;0;1;0;0;4;2;2;6;0;0;0;1;2;6;5;0;2;0;5;0;2;8;4;1;4;5;6;4;9;11;1;6;4;7;8;1;
3;16. la Bordeta;791;21;4;4;8;7;18;15;11;22;11;17;0;42;10;30;145;46;104;30;11;3;5;6;3;5;10;7;4;3;1;17;3;6;4;8;0;19;0;3;0;1;0;5;2;5;7;1;3;0;3;5;6;3;2;3;0;3;0;2;10;7;5;8;5;4;8;0;5;3;8;8;5;1;0;
3;17. Sants - Badal;1.137;27;13;12;6;12;23;13;22;36;16;26;0;19;2;25;66;265;132;69;70;3;1;8;2;0;15;9;5;1;7;25;15;13;2;15;3;7;3;3;3;0;0;2;2;4;2;1;0;0;1;3;8;0;0;9;0;5;0;12;10;10;4;10;10;11;2;0;8;7;7;2;10;3;0;
3;18. Sants;2.450;104;26;31;26;33;55;43;48;81;39;74;0;56;22;79;116;148;591;160;66;4;3;13;5;22;32;20;15;7;9;53;24;26;7;27;6;12;11;3;0;0;0;17;19;17;14;3;4;1;16;9;7;3;2;8;0;9;0;11;18;10;7;9;36;21;9;7;19;14;24;15;12;12;0;
4;19. les Corts;2.137;65;18;9;20;29;42;51;65;150;35;39;0;27;9;31;18;42;162;488;62;41;7;62;30;38;72;28;11;7;13;59;27;16;3;21;6;11;5;0;5;3;0;7;9;10;7;2;5;1;20;6;7;3;1;12;1;5;1;10;12;12;14;13;17;12;8;13;26;16;14;16;14;13;3;
4;20. la Maternitat i Sant Ramon;894;20;6;5;6;4;13;23;19;37;13;18;0;3;3;9;15;71;59;70;245;21;1;27;9;18;14;9;2;2;2;20;14;11;0;5;2;4;1;0;1;2;0;7;2;6;2;0;1;0;2;0;0;1;0;0;0;2;1;0;7;3;4;1;14;7;8;0;9;2;1;5;3;2;0;
4;21. Pedralbes;388;6;2;1;2;1;3;19;7;10;5;5;0;2;0;5;2;0;8;23;28;65;0;47;23;23;36;8;3;3;0;8;6;0;0;7;3;2;0;1;2;1;0;1;0;0;2;0;0;0;1;1;2;1;0;0;0;0;0;0;3;1;0;0;1;1;0;0;3;1;1;1;0;1;0;
5;22. Vallvidrera, el Tibidabo i les Planes;150;5;2;0;1;0;6;6;0;5;2;3;0;0;1;1;2;0;1;4;1;0;42;15;7;3;9;7;4;0;2;6;1;0;1;2;0;3;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;
5;23. Sarrià;1.086;15;10;6;12;4;11;20;26;41;11;4;0;10;2;5;7;7;17;50;27;55;18;296;73;52;91;34;9;0;5;52;1;7;8;5;4;6;0;4;4;2;0;6;2;2;2;0;1;1;1;2;1;0;0;0;0;0;0;2;7;1;0;6;4;6;3;5;13;1;2;3;2;2;0;
