DTE;BARRIS;BARCELONA;ELRAVAL;ELBARRIGOTIC;LABARCELONETA;SANTPERESANTACATERINAILARIBERA;ELFORTPIENC;LASAGRADAFAMILIA;LADRETADELEIXAMPLE;LANTIGAESQUERRADELEIXAMPLE;LANOVAESQUERRADELEIXAMPLE;SANTANTONI;ELPOBLESECPARCMONTJUIC;LAMARINADELPRATVERMELLZONAFRANCA;LAMARINADEPORT;LAFONTDELAGUATLLA;HOSTAFRANCS;LABORDETA;SANTSBADAL;SANTS;LESCORTS;LAMATERNITATISANTRAMON;PEDRALBES;VALLVIDRERAELTIBIDABOILESPLANES;SARRIA;LESTRESTORRES;SANTGERVASILABONANOVA;SANTGERVASIGALVANY;ELPUTXETIELFARRO;VALLCARCAIELSPENITENTS;ELCOLL;LASALUT;LAVILADEGRACIA;ELCAMPDENGRASSOTIGRACIANOVA;ELBAIXGUINARDO;CANBARO;ELGUINARDO;LAFONTDENFARGUES;ELCARMEL;LATEIXONERA;SANTGENISDELSAGUDELLS;MONTBAU;LAVALLDHEBRON;LACLOTA;HORTA;VILAPICINAILATORRELLOBETA;PORTA;ELTURODELAPEIRA;CANPEGUERA;LAGUINEUETA;CANYELLES;LESROQUETES;VERDUN;LAPROSPERITAT;LATRINITATNOVA;TORREBARO;CIUTATMERIDIANA;VALLBONA;LATRINITATVELLA;BARODEVIVER;ELBONPASTOR;SANTANDREU;LASAGRERA;ELCONGRESIELSINDIANS;NAVAS;ELCAMPDELARPADELCLOT;ELCLOT;ELPARCILALLACUNADELPOBLENOU;LAVILAOLIMPICADELPOBLENOU;ELPOBLENOU;DIAGONALMARIELFRONTMARITIMDELPOBLENOU;ELBESOSIELMARESME;PROVENCALSDELPOBLENOU;SANTMARTIDEPROVENCALS;LAVERNEDAILAPAU;NOCONSTA
3;11. el Poble Sec - Parc Montjuïc;3696;654;110;55;62;45;44;47;61;114;278;1394;1;43;23;50;33;22;62;25;9;5;1;8;10;11;12;13;5;6;6;62;18;17;10;17;1;12;10;3;6;0;0;13;11;16;1;1;4;0;8;6;7;9;1;7;1;14;1;10;16;13;6;12;35;20;12;2;23;3;39;14;15;11;0
3;12. la Marina del Prat Vermell - Zona Franca;62;1;1;3;0;0;2;1;0;1;0;1;13;13;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;12
3;13. la Marina de Port;1742;68;11;19;15;13;17;8;17;47;42;87;22;853;48;36;56;20;52;25;19;3;0;3;0;6;4;7;1;0;3;14;10;9;2;10;0;14;2;3;1;3;0;3;4;4;9;0;4;0;9;4;3;10;0;3;0;4;1;3;9;9;3;4;9;14;11;5;7;7;12;7;2;6;6
3;14. la Font de la Guatlla;682;51;10;6;9;8;13;6;20;28;44;47;0;32;140;65;29;13;28;12;2;0;0;4;0;7;3;2;0;0;6;11;1;5;1;4;1;4;2;0;0;1;0;10;2;2;1;0;1;0;1;1;4;0;0;3;0;3;0;1;2;3;3;3;4;4;2;0;2;1;5;2;5;2;0
3;15. Hostafrancs;1167;44;11;4;9;13;10;20;16;78;59;69;0;27;42;304;57;45;98;32;13;0;0;3;0;5;14;7;4;3;6;11;9;4;1;6;1;10;6;0;0;0;0;8;1;10;11;0;0;0;2;1;0;0;0;3;1;4;0;0;9;10;1;3;14;4;9;2;12;2;8;4;0;7;0
3;16. la Bordeta;1088;31;15;5;6;11;19;11;12;32;23;13;0;45;47;78;327;62;167;22;20;0;0;4;0;2;6;1;2;0;4;11;6;8;1;7;1;2;1;0;0;0;0;7;4;7;3;0;1;0;3;1;4;1;0;1;0;2;0;1;10;6;2;9;2;9;3;0;2;0;1;1;4;2;0
3;17. Sants - Badal;1369;46;12;8;7;8;19;5;18;57;27;30;0;17;22;39;43;402;232;70;75;6;1;7;0;3;8;4;3;3;3;21;17;7;0;13;1;5;6;0;1;2;0;6;6;3;3;0;2;2;7;1;8;0;0;4;0;4;0;5;7;5;7;8;9;5;3;0;4;1;4;1;5;10;1
3;18. Sants;2486;84;25;13;25;17;66;27;51;123;56;97;1;33;20;116;115;181;748;144;53;10;1;10;2;11;16;19;9;2;9;40;27;18;6;13;4;14;0;2;3;1;0;12;12;12;12;1;3;2;8;4;14;2;1;5;0;8;2;7;24;17;10;11;28;13;7;6;13;3;9;12;11;4;1
4;19. les Corts;2317;32;16;12;12;31;30;30;85;168;40;32;0;28;10;16;23;61;218;729;111;40;2;37;51;27;83;23;4;0;9;36;17;25;11;12;2;11;2;5;4;3;0;6;13;2;8;0;7;0;2;4;11;10;4;4;0;4;0;3;14;10;5;18;27;16;5;6;7;10;4;10;7;11;1
4;20. la Maternitat i Sant Ramon;1129;13;3;6;9;11;14;19;36;22;15;19;0;16;0;27;17;131;72;108;337;22;0;15;9;12;18;9;6;4;2;15;12;6;2;9;1;3;1;0;0;1;0;1;1;10;4;0;6;0;4;1;6;1;0;0;0;1;0;3;12;5;3;0;11;10;2;0;11;0;5;1;7;2;0
